Token memo,Alert timestamp (UTC),Source IP,User Agent,Date of test (UTC),Alert triggered after initial testing?
"grok-url-20260424-02-test04-02P-0-pdf

",2026-04-24 10:29:59,45.61.102.156,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",2026-04-24 10:29,No
,2026-04-24 10:29:59,142.147.183.196,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 10:30:00,195.172.119.242,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 10:30:00,104.243.208.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 10:30:00,84.37.49.31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 10:30:00,193.23.204.2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 10:30:01,108.165.41.91,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 10:30:01,38.154.139.163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,No
,2026-04-24 10:30:02,181.91.86.212,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 14:47:52,167.160.63.229,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,Yes
,2026-04-24 19:30:03,91.124.144.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-24 20:24:05,104.252.247.216,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,Yes
,2026-04-25 10:29:00,138.226.107.29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-25 23:05:27,23.27.225.155,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-26 9:49:34,185.244.8.48,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
grok-webimage-20260424-01-test01-01-0,2026-04-24 9:21:37,8.228.64.47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2026-04-24 9:21,No
,2026-04-24 9:21:37,167.160.55.179,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 9:21:37,85.254.76.122,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 9:21:38,104.238.32.189,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 9:21:38,206.195.138.101,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 9:21:38,138.226.18.133,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 9:21:39,167.160.61.149,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,No
,2026-04-24 9:21:40,213.201.242.79,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 9:25:03,138.226.19.237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,Yes
,2026-04-24 12:48:39,104.243.196.230,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,Yes
,2026-04-24 20:44:08,170.23.21.55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-24 20:44:09,168.195.27.212,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,Yes
,2026-04-25 12:43:54,166.0.136.227,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-25 12:44:36,200.52.228.210,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,Yes
,2026-04-26 1:10:28,170.23.17.246,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-26 1:10:29,104.252.184.223,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,Yes
,2026-04-26 12:40:42,84.32.212.17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-26 12:40:44,92.34.41.59,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,Yes
perplexity-url-20260421-01-test01-00-0,2026-04-21 10:05:26,18.97.43.82,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Perplexity-User/1.0; +https://perplexity.ai/perplexity-user)",2026-04-21 10:05,No
perplexity-webimage-20260421-01-test01-01-0,2026-04-21 10:35:28,18.97.43.81,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Perplexity-User/1.0; +https://perplexity.ai/perplexity-user)",2026-04-21 10:35,No
perplexity-webimage-20260422-01-test02-01-0,2026-04-22 8:04:17,18.97.43.84,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Perplexity-User/1.0; +https://perplexity.ai/perplexity-user)","2026-04-22 8:04
",No
grok-url-20260518-01-test01-04-1-sh,2026-05-18 6:52:36,45.157.184.68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2026-05-18 06:52,No
,2026-05-18 6:52:44,152.89.121.209,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-05-19 16:27:31,104.200.66.129,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
grok-webimage-20260518-01-test01-04-1-sh,2026-05-18 06:53:01,35.194.71.245,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2026-05-18 06:52,No
grok-url-20260518-01-test04-04-1-txt-sh,2026-05-18 07:05:01,89.117.114.245,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",2026-05-18 07:04,No
,2026-05-18 07:06:14,45.153.101.187,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,No
,2026-05-18 07:06:44,136.0.113.245,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,No
,2026-05-18 07:07:40,45.131.216.13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,No
grok-url-20260518-01-test04-04-1-pdf-sh,2026-05-18 07:10:17,45.41.132.81,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",2026-05-18 07:10,No
,2026-05-18 07:11:24,154.30.74.179,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,No
deepseek-url-20260518-01-test01-04-1-sh,2026-05-18 07:45:35,183.87.32.19,Mozilla/5.0 (X11; Linux x86_64; rv:142.0) Gecko/20100101 Firefox/142.0,2026-05-18 07:45,No
copilot-url-20260518-01-test01-04-1-sh,2026-05-18 08:09:08,64.71.166.35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",2026-05-18 08:09,No
copilot-webimage-20260518-01-test01-04-1-sh,2026-05-18 08:09:28,64.71.166.35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2026-05-18 08:09,No
mistral-url-20260518-01-test01-04-1-sh,2026-05-18 10:20:32,20.240.192.194,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; MistralAI-User/1.0; +https://docs.mistral.ai/robots)",2026-05-18 10:20,No
mistral-webimage-20260518-01-test01-04-1-sh,2026-05-18 10:20:54,51.12.243.114,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; MistralAI-User/1.0; +https://docs.mistral.ai/robots)",2026-05-18 10:20,No
claude-url-20260518-01-test01-05-1-sh,2026-05-18 10:38:39,34.162.230.222,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Claude-User/1.0; +claude-user@anthropic.com)",2026-05-18 10:38,No
claude-webimage-20260518-01-test01-05-1-sh,2026-05-18 10:39:05,34.162.230.222,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Claude-User/1.0; +claude-user@anthropic.com)",2026-05-18 10:39,No
claude-url-20260518-01-test04-05-1-txt-sh,2026-05-18 10:40:14,34.162.230.222,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Claude-User/1.0; +claude-user@anthropic.com)",2026-05-18 10:40,No
claude-url-20260518-01-test04-05-1-pdf-sh,2026-05-18 10:41:00,34.162.230.222,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Claude-User/1.0; +claude-user@anthropic.com)",2026-05-18 10:40,No
