LLM,DOMAINS,ThirdParty_Domain,ThirdParty_CNAME,ACCOUNT,CHAT,PRIVACY,CONSENT,INTERACTION,Organization
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Ignore Consent,Share,First-Party
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Reject All,Normal,First-Party
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Reject All,Share,First-Party
GROK,"grok.com, x.ai",t.co,,Free,Normal,Default,Accept All,Normal,First-Party
GROK,"grok.com, x.ai",t.co,,Free,Normal,Default,Accept All,Share,First-Party
GROK,"grok.com, x.ai",t0.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal,Google Cloud
GROK,"grok.com, x.ai",t0.gstatic.com,,Free,Normal,Default,Reject All,Share,Google Cloud
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Accept All,Normal,Google Cloud
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Accept All,Share,Google Cloud
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal,Google Cloud
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Ignore Consent,Share,Google Cloud
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Reject All,Normal,Google Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Accept All,Normal,Google Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Accept All,Share,Google Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal,Google Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Ignore Consent,Share,Google Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Reject All,Normal,Google Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Reject All,Share,Google Cloud
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Accept All,Normal,Google Cloud
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Accept All,Share,Google Cloud
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal,Google Cloud
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Reject All,Share,Google Cloud
GROK,"grok.com, x.ai",wa.appsflyersdk.com,d3qc5sduy8cmwp.cloudfront.net,Free,Normal,Default,Accept All,Normal,AppsFlyer
GROK,"grok.com, x.ai",wa.appsflyersdk.com,d3qc5sduy8cmwp.cloudfront.net,Free,Normal,Default,Accept All,Share,AppsFlyer
GROK,"grok.com, x.ai",wa.onelink.me,,Free,Normal,Default,Accept All,Normal,AppsFlyer
GROK,"grok.com, x.ai",wa.onelink.me,,Free,Normal,Default,Accept All,Share,AppsFlyer
GROK,"grok.com, x.ai",websdk.appsflyersdk.com,dbo0t3pcsxcel.cloudfront.net,Free,Normal,Default,Accept All,Normal,AppsFlyer
GROK,"grok.com, x.ai",websdk.appsflyersdk.com,dbo0t3pcsxcel.cloudfront.net,Free,Normal,Default,Accept All,Share,AppsFlyer
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Accept All,Normal,Google Search
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Accept All,Share,Google Search
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Ignore Consent,Normal,Google Search
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Ignore Consent,Share,Google Search
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Reject All,Normal,Google Search
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Reject All,Share,Google Search
GROK,"grok.com, x.ai",www.google.pt,,Free,Normal,Default,Accept All,Normal,Google Search
GROK,"grok.com, x.ai",www.google.pt,,Free,Normal,Default,Accept All,Share,Google Search
GROK,"grok.com, x.ai",www.googleadservices.com,,Free,Normal,Default,Accept All,Normal,Google Ads
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Accept All,Normal,Google Tag Manager
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Accept All,Share,Google Tag Manager
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Ignore Consent,Normal,Google Tag Manager
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Ignore Consent,Share,Google Tag Manager
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Reject All,Normal,Google Tag Manager
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Reject All,Share,Google Tag Manager
