LLM,DOMAINS,ThirdParty_Domain,ThirdParty_CNAME,ACCOUNT,CHAT,PRIVACY,CONSENT,INTERACTION,Organization,Tracking
GROK,"grok.com, x.ai",hagen.challenges.cloudflare.com,,Free,Normal,Default,Accept All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",hagen.challenges.cloudflare.com,,Free,Normal,Default,Ignore Consent,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",hagen.challenges.cloudflare.com,,Free,Normal,Default,Reject All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",js.stripe.com,dexeqbeb7giwr.cloudfront.net,Free,Normal,Default,Accept All,Normal,Stripe,Tracking
GROK,"grok.com, x.ai",js.stripe.com,dexeqbeb7giwr.cloudfront.net,Free,Normal,Default,Accept All,Share,Stripe,Tracking
GROK,"grok.com, x.ai",js.stripe.com,dexeqbeb7giwr.cloudfront.net,Free,Normal,Default,Ignore Consent,Normal,Stripe,Tracking
GROK,"grok.com, x.ai",js.stripe.com,dexeqbeb7giwr.cloudfront.net,Free,Normal,Default,Ignore Consent,Share,Stripe,Tracking
GROK,"grok.com, x.ai",js.stripe.com,dexeqbeb7giwr.cloudfront.net,Free,Normal,Default,Reject All,Normal,Stripe,Tracking
GROK,"grok.com, x.ai",js.stripe.com,dexeqbeb7giwr.cloudfront.net,Free,Normal,Default,Reject All,Share,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Accept All,Normal,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Accept All,Share,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Ignore Consent,Normal,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Ignore Consent,Share,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Reject All,Normal,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Reject All,Share,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Accept All,Normal,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Accept All,Share,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Ignore Consent,Normal,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Ignore Consent,Share,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Reject All,Normal,Stripe,Tracking
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Reject All,Share,Stripe,Tracking
GROK,"grok.com, x.ai",privacyportal.onetrust.com,,Free,Normal,Default,Accept All,Normal,OneTrust,Tracking
GROK,"grok.com, x.ai",privacyportal.onetrust.com,,Free,Normal,Default,Accept All,Share,OneTrust,Tracking
GROK,"grok.com, x.ai",privacyportal.onetrust.com,,Free,Normal,Default,Ignore Consent,Normal,OneTrust,Tracking
GROK,"grok.com, x.ai",privacyportal.onetrust.com,,Free,Normal,Default,Reject All,Normal,OneTrust,Tracking
GROK,"grok.com, x.ai",privacyportal.onetrust.com,,Free,Normal,Default,Reject All,Share,OneTrust,Tracking
GROK,"grok.com, x.ai",sgtm-prod-985009374134.us-central1.run.app,,Free,Normal,Default,Accept All,Normal,Google Tag Manager,Tracking
GROK,"grok.com, x.ai",sgtm-prod-985009374134.us-central1.run.app,,Free,Normal,Default,Accept All,Share,Google Tag Manager,Tracking
GROK,"grok.com, x.ai",stapecdn.com,,Free,Normal,Default,Accept All,Normal,Stape,Tracking
GROK,"grok.com, x.ai",stapecdn.com,,Free,Normal,Default,Accept All,Share,Stape,Tracking
GROK,"grok.com, x.ai",static.ads-twitter.com,platform.twitter.map.fastly.net,Free,Normal,Default,Accept All,Normal,Twitter Ads,Tracking
GROK,"grok.com, x.ai",static.ads-twitter.com,platform.twitter.map.fastly.net,Free,Normal,Default,Accept All,Share,Twitter Ads,Tracking
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Accept All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Accept All,Share,First-Party,First-Party
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Ignore Consent,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Ignore Consent,Share,First-Party,First-Party
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Reject All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Reject All,Share,First-Party,First-Party
GROK,"grok.com, x.ai",t.co,,Free,Normal,Default,Accept All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",t.co,,Free,Normal,Default,Accept All,Share,First-Party,First-Party
GROK,"grok.com, x.ai",t0.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal,Google Cloud,Cloud
GROK,"grok.com, x.ai",t0.gstatic.com,,Free,Normal,Default,Reject All,Share,Google Cloud,Cloud
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Accept All,Normal,Google Cloud,Cloud
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Accept All,Share,Google Cloud,Cloud
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal,Google Cloud,Cloud
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Ignore Consent,Share,Google Cloud,Cloud
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Reject All,Normal,Google Cloud,Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Accept All,Normal,Google Cloud,Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Accept All,Share,Google Cloud,Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal,Google Cloud,Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Ignore Consent,Share,Google Cloud,Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Reject All,Normal,Google Cloud,Cloud
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Reject All,Share,Google Cloud,Cloud
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Accept All,Normal,Google Cloud,Cloud
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Accept All,Share,Google Cloud,Cloud
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal,Google Cloud,Cloud
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Reject All,Share,Google Cloud,Cloud
GROK,"grok.com, x.ai",wa.appsflyersdk.com,d3qc5sduy8cmwp.cloudfront.net,Free,Normal,Default,Accept All,Normal,AppsFlyer,Tracking
GROK,"grok.com, x.ai",wa.appsflyersdk.com,d3qc5sduy8cmwp.cloudfront.net,Free,Normal,Default,Accept All,Share,AppsFlyer,Tracking
GROK,"grok.com, x.ai",wa.onelink.me,,Free,Normal,Default,Accept All,Normal,AppsFlyer,Tracking
GROK,"grok.com, x.ai",wa.onelink.me,,Free,Normal,Default,Accept All,Share,AppsFlyer,Tracking
GROK,"grok.com, x.ai",websdk.appsflyersdk.com,dbo0t3pcsxcel.cloudfront.net,Free,Normal,Default,Accept All,Normal,AppsFlyer,Tracking
GROK,"grok.com, x.ai",websdk.appsflyersdk.com,dbo0t3pcsxcel.cloudfront.net,Free,Normal,Default,Accept All,Share,AppsFlyer,Tracking
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Accept All,Normal,Google Search,Tracking
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Accept All,Share,Google Search,Tracking
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Ignore Consent,Normal,Google Search,Tracking
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Ignore Consent,Share,Google Search,Tracking
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Reject All,Normal,Google Search,Tracking
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Reject All,Share,Google Search,Tracking
GROK,"grok.com, x.ai",www.google.pt,,Free,Normal,Default,Accept All,Normal,Google Search,Tracking
GROK,"grok.com, x.ai",www.google.pt,,Free,Normal,Default,Accept All,Share,Google Search,Tracking
GROK,"grok.com, x.ai",www.googleadservices.com,,Free,Normal,Default,Accept All,Normal,Google Ads,Tracking
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Accept All,Normal,Google Tag Manager,Tracking
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Accept All,Share,Google Tag Manager,Tracking
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Ignore Consent,Normal,Google Tag Manager,Tracking
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Ignore Consent,Share,Google Tag Manager,Tracking
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Reject All,Normal,Google Tag Manager,Tracking
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Reject All,Share,Google Tag Manager,Tracking
