LLM,DOMAINS,ThirdParty_Domain,ThirdParty_CNAME,ACCOUNT,CHAT,PRIVACY,CONSENT,INTERACTION
GROK,"grok.com, x.ai",js.stripe.com,dexeqbeb7giwr.cloudfront.net,Free,Normal,Default,Reject All,Normal
GROK,"grok.com, x.ai",js.stripe.com,dexeqbeb7giwr.cloudfront.net,Free,Normal,Default,Reject All,Share
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Ignore Consent,Normal
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Ignore Consent,Share
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Reject All,Normal
GROK,"grok.com, x.ai",m.stripe.com,,Free,Normal,Default,Reject All,Share
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Ignore Consent,Normal
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Ignore Consent,Share
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Reject All,Normal
GROK,"grok.com, x.ai",m.stripe.network,prod-m-tree.stripe.network,Free,Normal,Default,Reject All,Share
GROK,"grok.com, x.ai",privacyportal.onetrust.com,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",privacyportal.onetrust.com,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",privacyportal.onetrust.com,,Free,Normal,Default,Ignore Consent,Normal
GROK,"grok.com, x.ai",privacyportal.onetrust.com,,Free,Normal,Default,Reject All,Normal
GROK,"grok.com, x.ai",privacyportal.onetrust.com,,Free,Normal,Default,Reject All,Share
GROK,"grok.com, x.ai",sgtm-prod-985009374134.us-central1.run.app,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",sgtm-prod-985009374134.us-central1.run.app,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",stapecdn.com,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",stapecdn.com,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",static.ads-twitter.com,platform.twitter.map.fastly.net,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",static.ads-twitter.com,platform.twitter.map.fastly.net,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Ignore Consent,Normal
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Ignore Consent,Share
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Reject All,Normal
GROK,"grok.com, x.ai",static.cloudflareinsights.com,,Free,Normal,Default,Reject All,Share
GROK,"grok.com, x.ai",t.co,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",t.co,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",t0.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal
GROK,"grok.com, x.ai",t0.gstatic.com,,Free,Normal,Default,Reject All,Share
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Ignore Consent,Share
GROK,"grok.com, x.ai",t1.gstatic.com,,Free,Normal,Default,Reject All,Normal
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Ignore Consent,Share
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Reject All,Normal
GROK,"grok.com, x.ai",t2.gstatic.com,,Free,Normal,Default,Reject All,Share
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Ignore Consent,Normal
GROK,"grok.com, x.ai",t3.gstatic.com,,Free,Normal,Default,Reject All,Share
GROK,"grok.com, x.ai",wa.appsflyersdk.com,d3qc5sduy8cmwp.cloudfront.net,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",wa.appsflyersdk.com,d3qc5sduy8cmwp.cloudfront.net,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",wa.onelink.me,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",wa.onelink.me,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",websdk.appsflyersdk.com,dbo0t3pcsxcel.cloudfront.net,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",websdk.appsflyersdk.com,dbo0t3pcsxcel.cloudfront.net,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Ignore Consent,Normal
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Ignore Consent,Share
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Reject All,Normal
GROK,"grok.com, x.ai",www.google.com,,Free,Normal,Default,Reject All,Share
GROK,"grok.com, x.ai",www.google.pt,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",www.google.pt,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",www.googleadservices.com,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Accept All,Normal
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Accept All,Share
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Ignore Consent,Normal
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Ignore Consent,Share
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Reject All,Normal
GROK,"grok.com, x.ai",www.googletagmanager.com,,Free,Normal,Default,Reject All,Share
